paper,eval_id,task,genre,#docs,#systems,includes_reference,#ann_total,#ann_item,content,fluency,repetition,coherence,referential_clarity,other,overall,measure,anntype,stattest,design_specified,comments
tan-etal-2017-abstractive,0,SDS,news,20,4,False,3,?,True,True,True,True,False,False,False,likert,Other,no,False,
yang-etal-2017-detecting,0,SDS,news,116,2,False,?,8,True,False,False,False,False,False,False,pairwise,Crowd,no,False,
li-etal-2017-multi,0,MDS,news,20,5,True,5,?,True,True,False,False,False,False,False,likert,Other,no,False,
li-etal-2017-multi,1,MDS,news,20,5,True,5,?,True,True,False,False,False,False,False,likert,Other,no,False,
li-etal-2017-cascaded,0,MDS,news,20,3,False,?,3,True,True,True,True,True,False,False,likert,Other,no,False,
isonuma-etal-2017-extractive,0,SDS,finance news,20,4,False,6,?,True,False,False,False,False,False,False,rank,Other,no,False,
zhang-wan-2017-towards,0,MDS (TLS),news,30,7,False,3,3,True,True,False,False,False,False,True,likert,Other,no,True,
hsu-etal-2018-unified,0,SDS,news,100,5,True,?,3,True,True,True,False,False,False,False,likert,Crowd,no,False,
zhou-etal-2018-neural,0,SDS,news,50,2,False,3,?,True,False,True,False,False,False,True,rank,Other,no,False,
chen-bansal-2018-fast,0,SDS,news,100,2,False,?,3,True,True,False,False,False,False,False,pairwise,Crowd,no,False,
guo-etal-2018-soft,0,SDS,news,100,2,False,?,?,True,True,False,False,False,False,False,pairwise,Crowd,no,False,
guo-etal-2018-soft,1,SDS,news,100,2,False,?,?,True,True,False,False,False,False,False,pairwise,Crowd,no,False,
wang-etal-2018-neural-related,0,MDS,science,35,7,False,?,?,False,False,False,False,False,True,False,likert,Other,anova,False,Specialized set of evaluation questions evaluating the usefulness of a generated related work summary
li-etal-2018-improving,0,SDS,news,50,4,False,3,3,True,True,True,True,False,False,False,likert,Other,t-test,True,
narayan-etal-2018-dont,0,SDS,news,50,5,True,?,3,True,True,False,False,False,False,False,BWS,Crowd,anova,False,
narayan-etal-2018-dont,1,SDS,news,50,5,True,?,5,True,False,False,False,False,False,False,QA,Crowd,anova,True,
kryscinski-etal-2018-improving,0,SDS,news,100,3,False,5,?,True,True,False,False,False,False,False,likert,Other,CI,False,
angelidis-lapata-2018-summarization,0,MDS,reviews,30,4,True,?,3,True,False,True,True,False,True,False,BWS,Crowd,other,False,"Evaluates Polarity, Tukey w/o ANOVA"
dong-etal-2018-banditsum,0, SDS,news,57,2,False,5,5,True,False,True,False,False,False,True,pairwise,Other,no,True,
dong-etal-2018-banditsum,1, SDS,news,20,2,False,4,4,True,False,True,False,False,False,True,pairwise,Other,no,True,
jiang-bansal-2018-closed,0,SDS,news,100,2,False,?,?,True,True,False,False,False,False,False,pairwise,Other,unspecified,False,
li-etal-2018-improving-neural,0,SDS,news,50,3,False,3,?,True,True,True,True,False,False,False,likert,Other,t-test,False,
chen-etal-2018-iterative,0,SDS,news,40,4,True,5,?,True,False,False,True,False,False,False,rank,Other,no,False,
gao-etal-2018-april,0,MDS,news,3,2,False,7,?,False,False,False,False,False,False,True,likert,Other,CI,False,
lebanoff-etal-2018-adapting,0,MDS,news,50,4,False,?,?,True,True,True,False,False,False,False,likert,Crowd,no,False,
zhu-etal-2018-msmo,0,SDS,news,400,4,False,2,2,False,False,False,False,False,False,True,likert,Other,no,True,
celikyilmaz-etal-2018-deep,0,SDS,news,100,2,False,?,5,True,False,True,True,False,False,True,likert,Crowd,unspecified,False,
celikyilmaz-etal-2018-deep,1,SDS,news,100,2,False,?,5,True,False,True,True,False,False,True,pairwise,Crowd,no,False,
krishna-srinivasan-2018-generating,0,SDS (QDS),news,18,2,False,40,10,True,False,False,False,False,False,False,pairwise,Other,no,False,
krishna-srinivasan-2018-generating,1,SDS (QDS),news,18,2,False,40,10,True,False,False,False,False,False,False,pairwise,Other,no,False,
narayan-etal-2018-ranking,0,SDS,news,20,4,True,5,5,True,True,False,False,False,False,False,rank,Other,anova,True,
narayan-etal-2018-ranking,1,SDS,news,20,3,False,?,5,True,False,False,False,False,False,False,QA,Crowd,anova,True,
gorinski-lapata-2018-whats,0,SDS,movie scripts,12,6,True,?,5,False,True,False,True,False,False,False,likert,Crowd,anova,False,
gorinski-lapata-2018-whats,1,SDS,movie scripts ,12,6,True,?,5,True,False,False,False,False,False,False,binary,Crowd,other,False,Chi-squared test
gorinski-lapata-2018-whats,2,SDS,movie scripts,12,6,True,?,5,True,False,False,False,False,False,False,rank,Crowd,anova,False,
peyrard-gurevych-2018-objective,0,MDS,news,20,9,False,2,2,False,False,False,False,False,False,True,likert,Other,other,True,ART
krishna-etal-2018-vocabulary,0,SDS,news,20,3,False,?,4,False,False,False,False,False,False,False,rank,Other,no,False,
krishna-etal-2018-vocabulary,1,SDS,news,20,3,False,?,?,False,False,False,False,False,False,False,likert,Other,no,False,
fabbri-etal-2019-multi,0,MDS,news,50,4,True,3,?,True,True,True,False,False,False,False,BWS,Other,anova,False,
lev-etal-2019-talksum,0,SDS,scientific,15,1,False,15,1,True,False,False,False,False,False,False,binary,Other,no,True,
lev-etal-2019-talksum,1,SDS,scientific,15,1,False,15,1,False,False,False,False,False,False,True,likert,Other,CI,True,
Ben-abacha-demner-fushman-2019-summarization,0,SDS,medical,50,3,False,?,?,False,False,False,False,False,False,False,likert,Other,no,False,
hardy-etal-2019-res,0,SDS,news,50,3,True,?,3,True,False,False,False,False,False,False,likert,Crowd,no,False,
hardy-etal-2019-res,1,SDS,news,50,3,True,?,3,True,False,False,False,False,False,False,likert,Crowd,no,False,
hardy-etal-2019-res,2,SDS,news,50,2,False,?,3,True,False,False,False,False,False,False,likert,Crowd,no,False,
hardy-etal-2019-res,3,SDS,news,50,3,True,?,3,False,True,False,False,False,False,False,likert,Crowd,no,False,
hardy-etal-2019-res,4,SDS,news,50,3,True,?,3,False,False,False,False,True,False,False,likert,Crowd,no,False,
zhang-etal-2019-hibert,0,SDS,news,20,6,True,?,?,False,False,False,False,False,False,True,rank,Other,t-test,False,
liu-lapata-2019-hierarchical,0,MDS,web,20,4,False,?,5,True,False,False,False,False,False,False,QA,Crowd,anova,False,
liu-lapata-2019-hierarchical,1,MDS,web,20,4,False,?,5,False,False,False,False,False,False,True,BWS,Crowd,anova,False,
perez-beltrachini-etal-2019-generating,0,MDS,web,45,3,False,?,3,True,False,False,False,False,False,False,QA,Crowd,no,False,
perez-beltrachini-etal-2019-generating,1,MDS,web,45,3,False,?,3,False,False,False,False,False,False,True,rank,Crowd,no,False,
Zheng-lapata-2019-sentence,0,SDS,news,20,4,False,?,5,True,False,False,False,False,False,False,QA,Crowd,anova,True,
Zheng-lapata-2019-sentence,1,SDS,news,18,4,False,?,5,True,False,False,False,False,False,False,QA,Crowd,anova,True,
Zheng-lapata-2019-sentence,2,SDS,news,50,3,False,?,5,True,False,False,False,False,False,False,QA,Other,anova,True,
frermann-klementiev-2019-inducing,0,SDS,news,50,6,False,?,?,False,False,False,False,False,True,False,other,Crowd,t-test,False,Aspect identification task
frermann-klementiev-2019-inducing,1,SDS,news,50,6,False,?,?,True,True,False,False,False,False,False,likert,Crowd,t-test,False,
palaskar-etal-2019-multimodal,0,SDS,video transcripts eng,500,3,False,129,3,True,True,False,True,False,False,False,likert,Crowd,no,False,
chawla-etal-2019-generating,0,SDS,news,24,3,False,?,5,True,False,False,False,False,True,False,likert,Crowd,no,True,Formality and meaning similarity
chawla-etal-2019-generating,1,SDS,news,26,3,False,?,5,True,False,False,False,False,True,False,likert,Crowd,no,True,Formality and meaning similarity
gui-etal-2019-attention,0,SDS,news,100,3,False,?,3,True,True,False,False,False,False,False,likert,Other,no,False,
luo-etal-2019-reading,0,SDS,news,50,4,False,3,?,True,False,True,False,False,False,True,rank,Other,no,True,
zhu-etal-2019-ncls,0,SDS,"news,nicroblog",25,4,False,3,?,True,True,True,False,False,False,False,likert,Other,no,False,
zhu-etal-2019-ncls,1,SDS,"news,microblog",25,4,False,3,?,True,True,True,False,False,False,False,likert,Other,no,False,
bohm-etal-2019-better,0,SDS,news,30,3,False,5,?,False,False,False,False,False,False,True,likert,Other,t-test,False,
bohm-etal-2019-better,1,SDS,news,20,2,False,3,?,False,False,False,False,False,False,True,likert,Other,t-test,False,
cho-etal-2019-mixture,0,SDS,news,100,4,False,?,10,False,False,False,False,False,True,False,pairwise,Crowd,unspecified,False,Diversity
cho-etal-2019-mixture,1,SDS,news,100,4,False,?,10,True,False,False,False,False,False,False,pairwise,Crowd,unspecified,False,
scialom-etal-2019-answers,0,SDS,news,50,8,True,?,3,True,True,False,False,False,False,False,likert,Other,t-test,False,
sharma-etal-2019-entity,0,SDS,news,30,5,True,3,3,True,True,False,True,False,False,False,likert,Other,other,True,Tukey w/o ANOVA
xu-durrett-2019-neural,0,SDS,news,?,3,False,?,?,False,True,False,False,False,False,False,other,Crowd,no,False,Single best selection
liu-lapata-2019-text,0,SDS,news,20,8,False,?,3,True,False,False,False,False,False,False,QA,Crowd,t-test,False,
liu-lapata-2019-text,1,SDS,news,20,6,False,?,3,True,False,False,False,False,False,False,QA,Crowd,t-test,False,
liu-lapata-2019-text,2,SDS,news,20,4,False,?,3,True,False,False,False,False,False,False,QA,Crowd,t-test,False,
liu-lapata-2019-text,3,SDS,news,20,4,False,?,3,False,False,False,False,False,False,True,BWS,Crowd,t-test,False,
liu-lapata-2019-text,4,SDS,news,20,3,False,?,3,False,False,False,False,False,False,True,BWS,Crowd,t-test,False,
liu-lapata-2019-text,5,SDS,news,20,4,False,?,3,False,False,False,False,False,False,True,BWS,Crowd,t-test,False,
gao-etal-2019-write,0,SDS,court judgements,100,3,False,3,3,False,True,False,False,False,False,False,likert,Other,t-test,True,
shen-etal-2019-improving,0,SDS,news,100,5,True,10,3,False,True,False,False,False,True,False,binary,Other,no,False,Turing test
li-etal-2019-deep,0,SDS,news,500,3,False,?,?,True,True,False,False,False,False,False,pairwise,Crowd,no,False,
erera-etal-2019-summarization,0,SDS,scientific ,24,2,False,12,1,False,False,False,False,False,True,False,binary,Other,CI,True,Recruited paper authors and asked whether they would consider a sentence part of a summary of their own paper
erera-etal-2019-summarization,1,SDS,scientific,24,2,False,12,1,True,False,False,False,False,False,False,likert,Other,CI,True,
erera-etal-2019-summarization,2,SDS,scientific,24,2,False,12,1,False,False,False,False,False,False,True,likert,Other,CI,True,
liu-etal-2019-single,0,SDS,news,20,6,False,?,5,True,False,False,False,False,False,False,QA,Crowd,anova,False,
liu-etal-2019-single,1,SDS,news,20,6,False,?,5,True,False,False,False,False,False,False,QA,Crowd,anova,False,
liu-etal-2019-single,2,SDS,news,20,7,True,?,5,False,False,False,False,False,False,True,BWS,Crowd,anova,False,
liu-etal-2019-single,3,SDS,news,20,7,True,?,5,False,False,False,False,False,False,True,BWS,Crowd,anova,False,
ouyang-etal-2019-robust,0,SDS,weblog,20,5,False,5,5,True,True,False,False,False,False,False,likert,Other,no,True,
ouyang-etal-2019-robust,1,SDS,weblog,20,5,False,5,5,True,True,False,False,False,False,False,likert,Other,no,True,
ouyang-etal-2019-robust,2,SDS,weblog,20,5,False,5,5,True,True,False,False,False,False,False,likert,Other,no,True,
kim-etal-2019-abstractive,0,SDS,social media,100,6,True,?,3,True,False,False,False,False,False,False,pairwise,Crowd,no,False,
arumae-liu-2019-guiding,0,SDS,news,80,4,True,?,5,True,False,False,False,False,False,False,QA,Crowd,no,False,
arumae-liu-2019-guiding,1,SDS,news,80,4,True,?,5,True,False,False,False,False,False,False,likert,Crowd,no,False,
mendes-etal-2019-jointly,0,SDS,news,20,6,False,?,?,False,False,False,False,False,False,False,QA,Crowd,anova,False,
liu-etal-2019-ins,0,MDS,news,10,7,False,16,3,False,True,True,False,False,True,True,likert,Other,t-test,True,Structure and topic diversity
